time,北京南,成都东,广州南,汉口,杭州东,杭州西,上海,上海虹桥,武汉,西安北
2023-01-01,1910.0,134.0,89.0,821.0,2289.0,340.0,1062.0,3867.0,639.0,563.0
2023-01-02,5657.0,63.0,130.0,1348.0,3936.0,840.0,2136.0,9689.0,826.0,670.0
2023-01-03,4184.0,81.0,139.0,962.0,2394.0,204.0,1415.0,3408.0,631.0,610.0
2023-01-04,3617.0,230.0,155.0,1557.0,2838.0,184.0,1272.0,3773.0,1008.0,750.0
2023-01-05,3491.0,263.0,147.0,1527.0,2874.0,157.0,1427.0,4237.0,1211.0,775.0
2023-01-06,3550.0,268.0,147.0,1834.0,3558.0,372.0,1898.0,5661.0,1258.0,732.0
2023-01-07,2674.0,379.0,157.0,1261.0,3039.0,236.0,1553.0,3875.0,1132.0,796.0
2023-01-08,4167.0,401.0,143.0,1556.0,4277.0,615.0,2512.0,6729.0,1011.0,814.0
2023-01-09,4073.0,376.0,146.0,1471.0,3969.0,293.0,1755.0,5101.0,1074.0,849.0
2023-01-12,4310.0,587.0,133.0,1939.0,3373.0,335.0,1986.0,5605.0,1305.0,973.0
2023-01-13,4810.0,564.0,150.0,2024.0,3812.0,361.0,2337.0,5995.0,1318.0,1189.0
2023-01-14,3731.0,804.0,156.0,2167.0,3041.0,263.0,1658.0,3877.0,1106.0,1836.0
2023-01-15,4045.0,811.0,144.0,2097.0,3684.0,426.0,2208.0,5581.0,1027.0,1938.0
2023-01-16,3447.0,834.0,110.0,1749.0,3181.0,268.0,1765.0,4349.0,1180.0,1824.0
2023-01-17,3404.0,832.0,159.0,2851.0,2889.0,301.0,1728.0,3958.0,1193.0,2343.0
2023-01-18,3607.0,629.0,209.0,3117.0,3052.0,278.0,1494.0,3649.0,1438.0,1940.0
2023-01-19,3069.0,500.0,235.0,2988.0,2672.0,214.0,1129.0,2847.0,1636.0,2106.0
2023-01-20,2200.0,544.0,177.0,2308.0,2264.0,227.0,804.0,2392.0,1340.0,1792.0
2023-01-21,888.0,101.0,94.0,687.0,953.0,81.0,454.0,983.0,419.0,620.0
2023-01-22,2091.0,196.0,252.0,789.0,1550.0,122.0,575.0,1538.0,419.0,964.0
2023-01-23,3109.0,232.0,186.0,1250.0,2888.0,312.0,1024.0,3194.0,578.0,1011.0
2023-01-24,3520.0,154.0,286.0,1077.0,4578.0,652.0,1808.0,6207.0,707.0,662.0
2023-01-25,4090.0,167.0,352.0,954.0,6605.0,885.0,2318.0,8102.0,696.0,475.0
2023-01-26,6767.0,184.0,531.0,1179.0,7939.0,1207.0,1817.0,7783.0,707.0,626.0
2023-01-27,9106.0,239.0,649.0,1360.0,9292.0,1146.0,3110.0,7167.0,871.0,676.0
2023-01-28,6646.0,157.0,712.0,1013.0,10138.0,1238.0,3589.0,9365.0,689.0,428.0
2023-01-29,6891.0,108.0,586.0,1019.0,10493.0,1204.0,3382.0,9034.0,659.0,505.0
2023-01-30,5312.0,112.0,518.0,1002.0,9213.0,1031.0,2878.0,9503.0,724.0,586.0
2023-01-31,5205.0,112.0,317.0,998.0,8226.0,877.0,3021.0,9002.0,711.0,568.0
2023-02-01,3707.0,74.0,344.0,741.0,5510.0,497.0,2049.0,4796.0,626.0,464.0
2023-02-02,4450.0,96.0,340.0,985.0,6496.0,831.0,2787.0,8201.0,747.0,503.0
2023-02-03,4698.0,77.0,332.0,1497.0,7194.0,1353.0,3238.0,10109.0,1003.0,501.0
2023-02-04,3217.0,65.0,232.0,1198.0,6256.0,909.0,2505.0,6741.0,883.0,475.0
2023-02-05,4892.0,87.0,266.0,1247.0,7466.0,1577.0,3602.0,11867.0,861.0,484.0
2023-02-06,6513.0,145.0,334.0,1226.0,6024.0,491.0,2232.0,5737.0,1082.0,792.0
2023-02-07,6318.0,129.0,327.0,1446.0,20.0,683.0,2841.0,81.0,1178.0,5.0
2023-02-08,6124.0,113.0,322.0,1668.0,7090.0,875.0,3450.0,9867.0,1275.0,933.0
2023-02-09,6062.0,96.0,286.0,1719.0,6887.0,786.0,3428.0,9542.0,1258.0,1005.0
2023-02-10,7460.0,116.0,252.0,2612.0,8505.0,1118.0,4268.0,12523.0,1620.0,1036.0
2023-02-11,4594.0,128.0,226.0,2167.0,6729.0,744.0,3343.0,8174.0,1447.0,701.0
2023-02-12,6576.0,139.0,344.0,2269.0,8554.0,2016.0,4586.0,14597.0,1520.0,820.0
2023-02-13,5618.0,95.0,352.0,1662.0,7233.0,661.0,3383.0,9389.0,1185.0,789.0
2023-02-14,5250.0,72.0,304.0,1621.0,6401.0,686.0,3106.0,8240.0,1137.0,764.0
2023-02-15,6331.0,131.0,398.0,2005.0,7827.0,842.0,3653.0,9346.0,1314.0,884.0
2023-02-16,6353.0,130.0,350.0,2000.0,7239.0,839.0,3478.0,9823.0,1223.0,750.0
2023-02-17,7802.0,110.0,324.0,3300.0,8963.0,1641.0,4523.0,13192.0,1539.0,916.0
2023-02-18,5142.0,139.0,284.0,2317.0,7414.0,727.0,3638.0,8682.0,1246.0,935.0
2023-02-19,7421.0,127.0,338.0,2733.0,9246.0,2588.0,4799.0,15408.0,1460.0,881.0
2023-02-20,6033.0,75.0,373.0,1802.0,7458.0,711.0,3203.0,8149.0,1269.0,753.0
2023-02-21,5763.0,92.0,419.0,1685.0,6424.0,592.0,3137.0,8011.0,1133.0,773.0
2023-02-22,6592.0,157.0,417.0,2033.0,7000.0,673.0,3275.0,8820.0,1169.0,883.0
2023-02-23,6577.0,118.0,395.0,1926.0,6845.0,779.0,3346.0,9289.0,1280.0,869.0
2023-02-24,6339.0,98.0,372.0,2474.0,5464.0,711.0,2702.0,6904.0,1369.0,991.0
2023-02-25,5390.0,93.0,314.0,1825.0,7645.0,845.0,3772.0,8890.0,1207.0,907.0
2023-02-26,7994.0,128.0,413.0,2773.0,9855.0,2468.0,5168.0,16221.0,1478.0,1070.0
2023-02-27,6176.0,101.0,374.0,2024.0,8422.0,704.0,3320.0,8663.0,1304.0,791.0
2023-02-28,5869.0,72.0,326.0,1877.0,6611.0,541.0,3201.0,8157.0,1265.0,926.0
2023-03-01,5736.0,113.0,380.0,2101.0,6617.0,538.0,3341.0,8452.0,1242.0,814.0
2023-03-02,5725.0,113.0,357.0,2009.0,6588.0,525.0,3318.0,8955.0,1249.0,873.0
2023-03-03,7143.0,115.0,405.0,3140.0,9594.0,1497.0,4443.0,12609.0,1697.0,942.0
2023-03-04,3695.0,77.0,365.0,1719.0,7602.0,631.0,3533.0,7816.0,1308.0,640.0
2023-03-05,6766.0,98.0,338.0,2404.0,9846.0,1853.0,5039.0,15006.0,1747.0,838.0
2023-03-06,5199.0,75.0,314.0,2103.0,8157.0,525.0,3471.0,8249.0,1315.0,1078.0
2023-03-07,3513.0,78.0,372.0,921.0,3558.0,234.0,1782.0,3995.0,866.0,694.0
2023-03-08,5059.0,118.0,400.0,2074.0,6886.0,509.0,3237.0,8959.0,1083.0,830.0
2023-03-09,5337.0,84.0,482.0,2132.0,6970.0,641.0,3676.0,9909.0,1341.0,835.0
2023-03-10,7004.0,125.0,313.0,3249.0,10173.0,1651.0,4726.0,14114.0,1636.0,924.0
2023-03-11,4178.0,125.0,310.0,2308.0,7724.0,695.0,3801.0,8557.0,1364.0,771.0
