time,北京南,成都东,广州南,汉口,杭州东,杭州西,上海,上海虹桥,武汉,西安北
2023-01-01,1535.0,36.0,97.0,505.0,2879.0,207.0,796.0,4025.0,536.0,186.0
2023-01-02,2700.0,61.0,113.0,1340.0,4079.0,207.0,1098.0,5003.0,1001.0,432.0
2023-01-03,2935.0,52.0,98.0,781.0,2352.0,207.0,691.0,4126.0,904.0,383.0
2023-01-04,3019.0,52.0,108.0,722.0,3773.0,207.0,1286.0,5385.0,805.0,385.0
2023-01-05,3326.0,83.0,122.0,766.0,4306.0,244.0,1390.0,6070.0,797.0,359.0
2023-01-06,3858.0,67.0,164.0,944.0,6309.0,259.0,1800.0,8480.0,942.0,440.0
2023-01-07,3215.0,83.0,233.0,736.0,4294.0,415.0,1558.0,5974.0,747.0,381.0
2023-01-08,3274.0,95.0,228.0,937.0,4333.0,332.0,1624.0,5443.0,826.0,368.0
2023-01-09,3474.0,79.0,177.0,821.0,4208.0,350.0,1606.0,6257.0,860.0,328.0
2023-01-11,3061.0,57.0,265.0,643.0,2815.0,375.0,1068.0,5038.0,657.0,314.0
2023-01-12,4043.0,81.0,239.0,832.0,5106.0,458.0,1953.0,8655.0,874.0,383.0
2023-01-13,5018.0,63.0,469.0,868.0,7147.0,660.0,2656.0,12214.0,915.0,442.0
2023-01-14,5324.0,81.0,621.0,767.0,6478.0,1009.0,2272.0,9179.0,812.0,419.0
2023-01-15,4053.0,61.0,539.0,832.0,6201.0,763.0,2153.0,8982.0,708.0,413.0
2023-01-16,3956.0,77.0,499.0,742.0,5843.0,709.0,2223.0,9474.0,658.0,265.0
2023-01-17,4752.0,106.0,507.0,740.0,6846.0,811.0,2405.0,10923.0,714.0,307.0
2023-01-18,6821.0,147.0,595.0,842.0,7950.0,1068.0,2469.0,11680.0,662.0,357.0
2023-01-19,6707.0,147.0,570.0,688.0,6559.0,924.0,2334.0,11099.0,555.0,267.0
2023-01-20,5498.0,100.0,289.0,455.0,4688.0,493.0,2239.0,9606.0,501.0,290.0
2023-01-21,1786.0,26.0,73.0,276.0,1276.0,109.0,805.0,3957.0,227.0,84.0
2023-01-22,2715.0,20.0,33.0,467.0,1962.0,138.0,742.0,3174.0,322.0,144.0
2023-01-23,3747.0,83.0,99.0,930.0,3914.0,390.0,1575.0,5634.0,590.0,304.0
2023-01-24,3172.0,151.0,124.0,1732.0,5011.0,491.0,1631.0,5349.0,1079.0,680.0
2023-01-25,3288.0,447.0,330.0,1927.0,5361.0,516.0,1711.0,4490.0,1123.0,1158.0
2023-01-26,4286.0,1949.0,766.0,1140.0,5623.0,345.0,1755.0,4393.0,935.0,1512.0
2023-01-27,5065.0,1950.0,1122.0,1104.0,5996.0,409.0,1546.0,4299.0,1180.0,1273.0
2023-01-28,4997.0,1793.0,1074.0,1193.0,4800.0,401.0,1455.0,4075.0,1190.0,1212.0
2023-01-29,4430.0,2013.0,577.0,1337.0,4496.0,388.0,1376.0,4377.0,1167.0,1794.0
2023-01-30,4440.0,1927.0,473.0,2291.0,4456.0,354.0,1634.0,4782.0,1821.0,1287.0
2023-01-31,4437.0,949.0,429.0,694.0,4875.0,355.0,1918.0,5838.0,1230.0,1025.0
2023-02-01,3939.0,926.0,266.0,1711.0,3292.0,322.0,1290.0,4445.0,1122.0,1040.0
2023-02-02,4322.0,899.0,185.0,2218.0,5291.0,420.0,2514.0,7358.0,1471.0,1219.0
2023-02-03,5375.0,728.0,180.0,2429.0,8892.0,635.0,3882.0,11802.0,1801.0,1167.0
2023-02-04,3989.0,641.0,211.0,1970.0,5779.0,732.0,2830.0,8343.0,1746.0,1032.0
2023-02-05,3351.0,525.0,137.0,1835.0,5138.0,352.0,2413.0,6226.0,1295.0,1042.0
2023-02-06,4295.0,1187.0,239.0,2192.0,3814.0,521.0,1500.0,5467.0,1594.0,816.0
2023-02-07,4909.0,880.0,223.0,59.0,4961.0,480.0,2085.0,7242.0,1691.0,38.0
2023-02-08,5523.0,574.0,207.0,2805.0,6108.0,438.0,2670.0,9017.0,1789.0,1285.0
2023-02-09,5833.0,730.0,306.0,2605.0,6452.0,400.0,3009.0,9241.0,1989.0,1189.0
2023-02-10,7018.0,804.0,341.0,2989.0,10643.0,687.0,4497.0,14295.0,2063.0,1362.0
2023-02-11,6119.0,1204.0,568.0,2585.0,7884.0,836.0,3105.0,10061.0,2320.0,2141.0
2023-02-12,6175.0,923.0,583.0,3341.0,8625.0,692.0,3297.0,8593.0,2256.0,1972.0
2023-02-13,5327.0,429.0,350.0,1922.0,5750.0,609.0,2808.0,8694.0,1821.0,1266.0
2023-02-14,5302.0,397.0,234.0,1723.0,6022.0,473.0,2608.0,8463.0,1565.0,801.0
2023-02-15,6271.0,320.0,247.0,1811.0,7009.0,632.0,3234.0,9995.0,1758.0,993.0
2023-02-16,6314.0,414.0,271.0,2188.0,7675.0,545.0,3125.0,10330.0,1617.0,978.0
2023-02-17,7411.0,439.0,354.0,3333.0,12954.0,965.0,4170.0,15394.0,1641.0,1154.0
2023-02-18,5923.0,722.0,523.0,2937.0,9053.0,1315.0,3620.0,11744.0,1680.0,1274.0
2023-02-19,5876.0,437.0,481.0,3134.0,10001.0,757.0,3833.0,10270.0,1859.0,1330.0
2023-02-20,5433.0,220.0,327.0,2256.0,6246.0,641.0,2562.0,8798.0,1324.0,869.0
2023-02-21,5324.0,228.0,244.0,1756.0,6393.0,516.0,2687.0,9117.0,1181.0,722.0
2023-02-22,6000.0,181.0,259.0,1860.0,7020.0,657.0,2903.0,9848.0,1267.0,816.0
2023-02-23,6639.0,128.0,253.0,1934.0,7633.0,619.0,3097.0,10354.0,1338.0,754.0
2023-02-24,8291.0,175.0,449.0,3093.0,13631.0,1193.0,4282.0,16606.0,1707.0,962.0
2023-02-25,6265.0,185.0,432.0,1994.0,8686.0,1282.0,3659.0,12556.0,1302.0,792.0
2023-02-26,6326.0,217.0,458.0,3320.0,10118.0,748.0,3663.0,10706.0,1658.0,968.0
2023-02-27,5505.0,224.0,353.0,2243.0,6272.0,574.0,2548.0,8492.0,1370.0,885.0
2023-02-28,5841.0,167.0,391.0,2027.0,6467.0,379.0,2591.0,9057.0,1372.0,847.0
2023-03-01,6274.0,179.0,306.0,2186.0,7020.0,365.0,2716.0,9356.0,1322.0,988.0
2023-03-02,5838.0,163.0,289.0,1874.0,6943.0,413.0,2795.0,9818.0,1445.0,718.0
2023-03-03,7457.0,143.0,308.0,3130.0,13519.0,750.0,3902.0,15646.0,2185.0,901.0
2023-03-04,4745.0,116.0,319.0,1828.0,8674.0,972.0,3295.0,10615.0,1473.0,717.0
2023-03-05,5041.0,171.0,439.0,2977.0,10657.0,589.0,3765.0,10081.0,1329.0,912.0
2023-03-06,4922.0,143.0,334.0,1896.0,6450.0,459.0,2549.0,8647.0,1375.0,889.0
2023-03-07,3918.0,150.0,239.0,1083.0,3220.0,330.0,1510.0,5500.0,1128.0,632.0
2023-03-08,5692.0,136.0,278.0,1795.0,6813.0,380.0,2794.0,10058.0,1287.0,707.0
2023-03-09,6398.0,197.0,313.0,2123.0,7595.0,498.0,3056.0,10788.0,1507.0,1071.0
2023-03-10,8049.0,153.0,422.0,3460.0,14017.0,907.0,4017.0,16551.0,1921.0,927.0
2023-03-11,4954.0,149.0,351.0,1712.0,8837.0,1186.0,3294.0,11788.0,1503.0,897.0
2023-03-12,5176.0,161.0,451.0,3029.0,10640.0,652.0,3674.0,10672.0,1477.0,940.0
2023-03-13,5492.0,136.0,415.0,2521.0,6433.0,579.0,2397.0,8799.0,1568.0,888.0
2023-03-14,5894.0,175.0,346.0,1993.0,6904.0,430.0,2711.0,9812.0,1388.0,763.0
2023-03-15,6539.0,167.0,354.0,2492.0,7784.0,535.0,3203.0,10905.0,1315.0,877.0
2023-03-16,7013.0,169.0,357.0,2598.0,8683.0,777.0,3406.0,12272.0,1507.0,961.0
2023-03-17,8169.0,166.0,467.0,3752.0,14793.0,1190.0,4217.0,18382.0,1810.0,923.0
2023-03-18,6337.0,167.0,595.0,2320.0,10103.0,1763.0,3625.0,13179.0,1633.0,931.0
2023-03-19,6820.0,194.0,507.0,3731.0,12026.0,773.0,4193.0,13221.0,1785.0,1089.0
2023-03-20,6634.0,275.0,465.0,2852.0,7500.0,791.0,2903.0,10337.0,1420.0,1117.0
2023-03-21,6717.0,166.0,396.0,2092.0,7320.0,555.0,3024.0,9736.0,1473.0,852.0
2023-03-22,7035.0,253.0,426.0,2436.0,7536.0,554.0,3083.0,10721.0,1438.0,953.0
2023-03-23,7345.0,261.0,357.0,2624.0,7941.0,599.0,3252.0,11508.0,1351.0,1037.0
2023-03-24,8422.0,230.0,403.0,4156.0,14203.0,1705.0,4060.0,18152.0,1874.0,1065.0
2023-03-25,7538.0,275.0,531.0,2489.0,9767.0,1759.0,3930.0,14391.0,1594.0,823.0
2023-03-26,7011.0,310.0,804.0,3594.0,11722.0,866.0,4624.0,13650.0,1806.0,940.0
2023-03-27,6331.0,269.0,480.0,3388.0,7352.0,929.0,3267.0,10778.0,1421.0,973.0
2023-03-28,7199.0,226.0,488.0,2663.0,8278.0,569.0,3300.0,11802.0,1467.0,1014.0
2023-03-29,7142.0,171.0,390.0,3137.0,8546.0,553.0,3465.0,13354.0,1384.0,917.0
2023-03-30,7676.0,209.0,591.0,3534.0,8580.0,629.0,3624.0,13324.0,1550.0,1059.0
2023-03-31,9779.0,173.0,645.0,4369.0,14308.0,2663.0,3593.0,18420.0,2259.0,1045.0
2023-04-01,8059.0,252.0,559.0,2585.0,10359.0,1618.0,3362.0,15135.0,1396.0,1022.0
2023-04-02,6665.0,265.0,438.0,3692.0,12196.0,1307.0,4562.0,13136.0,1626.0,872.0
2023-04-03,4943.0,251.0,379.0,2685.0,7210.0,795.0,2955.0,9979.0,1204.0,867.0
2023-04-04,4508.0,134.0,294.0,1370.0,5268.0,569.0,2258.0,6906.0,1087.0,695.0
2023-04-05,4809.0,145.0,349.0,1753.0,4048.0,652.0,1613.0,4672.0,1135.0,698.0
2023-04-06,6056.0,161.0,345.0,2858.0,7331.0,836.0,3218.0,10774.0,1159.0,860.0
2023-04-07,7921.0,198.0,362.0,4129.0,14018.0,1355.0,4081.0,16126.0,1642.0,788.0
2023-04-08,6449.0,196.0,330.0,2943.0,10484.0,1671.0,3613.0,13467.0,1421.0,901.0
2023-04-09,7437.0,288.0,466.0,3959.0,13698.0,2262.0,4512.0,14449.0,1631.0,1285.0
2023-04-10,7014.0,311.0,439.0,3817.0,8377.0,1261.0,3049.0,11256.0,1424.0,1294.0
2023-04-12,7631.0,275.0,330.0,2880.0,8671.0,933.0,3550.0,11484.0,1317.0,1044.0
2023-04-13,7939.0,363.0,392.0,2830.0,8700.0,884.0,3762.0,12178.0,1331.0,1011.0
2023-04-14,8846.0,355.0,420.0,4184.0,15331.0,1736.0,4001.0,17928.0,1978.0,1206.0
2023-04-15,7622.0,398.0,357.0,3747.0,11561.0,1705.0,3750.0,14192.0,1494.0,1050.0
2023-04-16,7977.0,408.0,360.0,3080.0,4154.0,1598.0,4775.0,562.0,1800.0,976.0
2023-04-17,6622.0,418.0,364.0,3897.0,8798.0,1138.0,3092.0,11209.0,1292.0,1295.0
2023-04-18,5467.0,331.0,400.0,2174.0,5022.0,598.0,2125.0,7128.0,1138.0,996.0
2023-04-20,7421.0,367.0,755.0,3364.0,9218.0,876.0,3782.0,14182.0,1474.0,1244.0
2023-04-21,8462.0,357.0,501.0,3739.0,12529.0,1327.0,3948.0,16574.0,1678.0,1329.0
2023-04-22,6015.0,358.0,424.0,2630.0,9014.0,960.0,3391.0,11303.0,1315.0,1064.0
2023-04-23,6827.0,420.0,483.0,2958.0,9028.0,889.0,3164.0,11248.0,1963.0,892.0
2023-04-24,7115.0,345.0,638.0,2332.0,8288.0,928.0,3044.0,10524.0,1268.0,888.0
2023-04-25,7427.0,260.0,435.0,2356.0,9126.0,1083.0,3181.0,11987.0,1149.0,990.0
2023-04-26,8153.0,379.0,708.0,2524.0,13517.0,1831.0,3563.0,15469.0,1250.0,1106.0
2023-04-27,11687.0,689.0,1134.0,3885.0,13213.0,2954.0,3276.0,13282.0,2149.0,1640.0
2023-04-28,3310.0,595.0,1264.0,3155.0,13510.0,3692.0,2497.0,8067.0,1928.0,1480.0
2023-04-29,3061.0,620.0,1341.0,2800.0,10581.0,2649.0,4295.0,8070.0,1587.0,1150.0
2023-04-30,8706.0,320.0,945.0,3897.0,13876.0,3425.0,3085.0,12424.0,2268.0,1185.0
2023-05-01,5800.0,189.0,509.0,3283.0,15550.0,2473.0,3830.0,14848.0,1657.0,937.0
