group,group_label,model,n_days,n_observations,mape,mse,mae,valid_count,ignored_count,mape_rank,mape_best,mse_rank,mse_best,mae_rank,mae_best
all_test,全部测试日期,Strict RAMR-VE,212,4240,18.54632303996196,0.035640055771432894,0.13802759513195545,4240,0,1,True,1,True,1,True
all_test,全部测试日期,DLinear,212,4240,24.191367207080162,0.054282450517322584,0.18260798309810916,4239,1,4,False,5,False,6,False
all_test,全部测试日期,FreEformer,212,4240,22.604432632749464,0.04453412502340279,0.15925836107795044,4222,18,3,False,3,False,3,False
all_test,全部测试日期,PatchTST,212,4240,28.2886501023144,0.0590790372029091,0.18232625006587985,4234,6,6,False,6,False,5,False
all_test,全部测试日期,TimeMixer,212,4240,24.483713982417665,0.03886722795278637,0.15256861661698162,4238,2,5,False,2,False,2,False
all_test,全部测试日期,iTransformer,212,4240,21.35663169565327,0.04764235566782108,0.1647304944628426,4136,104,2,False,4,False,4,False
high_demand_top25,日总客流最高25%,Strict RAMR-VE,53,1060,23.97542140006317,0.054716240547165354,0.18763027773279495,1060,0,1,True,1,True,1,True
high_demand_top25,日总客流最高25%,DLinear,53,1060,27.58006298074268,0.08122982457448365,0.24727258559388068,1059,1,2,False,6,False,6,False
high_demand_top25,日总客流最高25%,FreEformer,53,1060,28.843305168860294,0.0663812697677332,0.21392667952212321,1055,5,5,False,3,False,3,False
high_demand_top25,日总客流最高25%,PatchTST,53,1060,30.8334830090956,0.0751141282942744,0.22807703004748753,1060,0,6,False,5,False,5,False
high_demand_top25,日总客流最高25%,TimeMixer,53,1060,28.05766626412901,0.06082014846785005,0.20753732741700398,1059,1,3,False,2,False,2,False
high_demand_top25,日总客流最高25%,iTransformer,53,1060,28.10651754972186,0.069570469252361,0.21895329226459778,1055,5,4,False,4,False,4,False
non_high_demand,非高需求日,Strict RAMR-VE,159,3180,16.736623586594888,0.02258000172575052,0.11419616326665234,3180,0,1,True,1,True,1,True
non_high_demand,非高需求日,DLinear,159,3180,23.06286757679444,0.03583357482686212,0.15154010556261457,3180,0,4,False,5,False,5,False
non_high_demand,非高需求日,FreEformer,159,3180,20.52612176265255,0.02957699945247765,0.13299316254671317,3167,13,3,False,3,False,3,False
non_high_demand,非高需求日,PatchTST,159,3180,27.438768917315002,0.048100995275621804,0.1603454510697847,3174,6,6,False,6,False,6,False
non_high_demand,非高需求日,TimeMixer,159,3180,23.29314604711338,0.02383768552813808,0.12615909565022418,3179,1,5,False,2,False,2,False
non_high_demand,非高需求日,iTransformer,159,3180,19.045327062078986,0.032629796715347985,0.13867934473456625,3081,99,2,False,4,False,4,False
high_abs_shift_top25,日总客流绝对变化最高25%,Strict RAMR-VE,53,1060,24.810786225092098,0.05540216008310242,0.18598431815276978,1060,0,1,True,3,False,3,False
high_abs_shift_top25,日总客流绝对变化最高25%,DLinear,53,1060,31.121100819219365,0.08004993588949763,0.2466464614453312,1059,1,6,False,6,False,6,False
high_abs_shift_top25,日总客流绝对变化最高25%,FreEformer,53,1060,28.425862567471725,0.06500831555172815,0.20676973124936313,1052,8,4,False,4,False,4,False
high_abs_shift_top25,日总客流绝对变化最高25%,PatchTST,53,1060,29.316500733362556,0.05439475808640388,0.18093603619470816,1058,2,5,False,2,False,2,False
high_abs_shift_top25,日总客流绝对变化最高25%,TimeMixer,53,1060,28.224473296904673,0.051542898494798685,0.17672700088930937,1059,1,3,False,1,True,1,True
high_abs_shift_top25,日总客流绝对变化最高25%,iTransformer,53,1060,27.69973714022142,0.0665749963885128,0.2097958068617248,1029,31,2,False,5,False,5,False
non_high_abs_shift,非高绝对变化日,Strict RAMR-VE,159,3180,16.458168644918572,0.026605024117320575,0.11946552692047153,3180,0,1,True,1,True,1,True
non_high_abs_shift,非高绝对变化日,DLinear,159,3180,21.88363516454702,0.04250182015970407,0.15782133112597885,3180,0,4,False,5,False,5,False
non_high_abs_shift,非高绝对变化日,FreEformer,159,3180,20.672525916242268,0.035173534845437136,0.14086867057386704,3170,10,3,False,3,False,2,False
non_high_abs_shift,非高绝对变化日,PatchTST,159,3180,27.946248978999233,0.06122064163059803,0.1828643444785034,3176,4,6,False,6,False,6,False
non_high_abs_shift,非高绝对变化日,TimeMixer,159,3180,23.237578683882987,0.03307204122681848,0.14321790312999955,3179,1,5,False,2,False,3,False
non_high_abs_shift,非高绝对变化日,iTransformer,159,3180,19.255873568050877,0.0389865462707228,0.1472875719688093,3107,73,2,False,4,False,4,False
