scene,scene_label,model,n_days,n_observations,mape,mse,mae,valid_count,ignored_count,mape_rank,mape_best,mse_rank,mse_best,mae_rank,mae_best
all_test,全部测试日期,Strict RAMR-VE,212,4240,18.54632303996196,0.035640055771432894,0.13802759513195545,4240,0,1,True,1,True,1,True
all_test,全部测试日期,DLinear,212,4240,24.191367207080162,0.054282450517322584,0.18260798309810916,4239,1,4,False,5,False,6,False
all_test,全部测试日期,FreEformer,212,4240,22.604432632749464,0.04453412502340279,0.15925836107795044,4222,18,3,False,3,False,3,False
all_test,全部测试日期,PatchTST,212,4240,28.2886501023144,0.0590790372029091,0.18232625006587985,4234,6,6,False,6,False,5,False
all_test,全部测试日期,TimeMixer,212,4240,24.483713982417665,0.03886722795278637,0.15256861661698162,4238,2,5,False,2,False,2,False
all_test,全部测试日期,iTransformer,212,4240,21.35663169565327,0.04764235566782108,0.1647304944628426,4136,104,2,False,4,False,4,False
weekday,工作日,Strict RAMR-VE,152,3040,18.115317115530928,0.038405729897086884,0.13596672894632555,3040,0,1,True,1,True,1,True
weekday,工作日,DLinear,152,3040,24.15361456654547,0.05430085535547046,0.18149344231808995,3039,1,4,False,5,False,6,False
weekday,工作日,FreEformer,152,3040,22.149116942464232,0.04253752297004399,0.1531364173079655,3027,13,3,False,3,False,2,False
weekday,工作日,PatchTST,152,3040,27.222085511950578,0.054757650068501064,0.17059245059840067,3034,6,6,False,6,False,5,False
weekday,工作日,TimeMixer,152,3040,24.240718074885084,0.041899422771129895,0.15447228423125,3038,2,5,False,2,False,3,False
weekday,工作日,iTransformer,152,3040,21.44393556146692,0.046810958967687145,0.16296746031664328,2966,74,2,False,4,False,4,False
weekend,周末,Strict RAMR-VE,60,1200,19.638204715187232,0.02972315348978172,0.14282578637856239,1200,0,1,True,1,True,1,True
weekend,周末,DLinear,60,1200,24.286975769234278,0.054243075079768166,0.18520290160954064,1200,0,4,False,5,False,5,False
weekend,周末,FreEformer,60,1200,23.757772042367368,0.048805669214197316,0.17351171591204131,1195,5,3,False,3,False,4,False
weekend,周末,PatchTST,60,1200,30.985280908284246,0.06832424261532574,0.2096453522409168,1200,0,6,False,6,False,6,False
weekend,周末,TimeMixer,60,1200,25.098898621654314,0.03238012946470074,0.14813642138425676,1200,0,5,False,2,False,2,False
weekend,周末,iTransformer,60,1200,21.135312664881226,0.04942105149693162,0.1688352612190485,1170,30,2,False,4,False,3,False
